Respondent ID,Start Date,End Date,"Overall, how satisfied are you with your most recent trip ?",How likely are you to ride again?,How likely is it that you would recommend  this service to a friend or colleague? (NPS),Did your bus depart {{ custom.O }} origin on time?,Did your bus reach your final destination on time?,Where did you purchase your ticket?,"Overall, how would you rate your {{ custom.O }} origin stop/terminal experience?",Employee Communication/Customer Service,Terminal Safety,Seating/Boarding Area Cleanliness,Terminal Restrooms,Boarding Process,"Overall, how would you rate your experience on the bus",Driver Safety,Driver Attitude,Personal Safety,Bus Seating Area Cleanliness,Bus Restroom Cleanliness,Were you aware your bus had On Board Entertainment and WiFi,Did you utilize the On Board Entertainment or Wi-Fi features while riding the bus?,What was your reason for traveling?,What is your most commonly used mode of transportation for trips greater than 2 hours,How would you rate the value of your trip for the money spent?,Origin,Destination
12066738564,10/11/2020 12:34,10/11/2020 12:37,10,10,10,Yes,Yes,Website,Excellent,N/A,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Excellent,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Yes,Yes,"Specific Event or Gathering with Friends or Family (i.e. Birthday, Family Reunion, etc.)",Personal Automobile,Excellent Value for the Money,ALBUQUERQUE | NM,EL PASO | TX
12066735727,10/11/2020 12:32,10/11/2020 12:37,7,7,7,Yes,Yes,Terminal/Stop/Physical Location,3,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,4,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Yes,Yes,Family/Personal Emergency,Personal Automobile,Good Value for the Money,DOTHAN | AL,
12066730507,10/11/2020 12:27,10/11/2020 12:31,10,10,10,Yes,Yes,Website,Excellent,Very Satisfied,Very Satisfied,Very Satisfied,4,Very Satisfied,Excellent,3,4,Very Satisfied,Very Satisfied,Very Satisfied,Yes,Yes,Family/Personal Emergency,Personal Automobile,Excellent Value for the Money,JACKSONVILLE | FL,MIAMI | FL
12066727911,10/11/2020 12:25,10/11/2020 12:38,5,5,5,No,Yes,Mobile App,2,3,Very Dissatisfied,Very Satisfied,Very Satisfied,4,3,Very Satisfied,Very Satisfied,Very Satisfied,3,2,Yes,No,Visiting Friends or Family (Just for Fun),Personal Automobile,Good Value for the Money,PHOENIX | AZ,HARLINGEN | TX
12066724819,10/11/2020 12:23,10/11/2020 12:26,10,10,10,Yes,Yes,Mobile App,Excellent,Very Satisfied,Very Satisfied,Very Satisfied,N/A,Very Satisfied,Excellent,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Yes,No,"Specific Event or Gathering with Friends or Family (i.e. Birthday, Family Reunion, etc.)",Plane,Excellent Value for the Money,LAS VEGAS | NV,SAN BERNARDINO | CA
12066723347,10/11/2020 12:22,10/11/2020 12:26,8,7,9,Yes,Yes,Website,4,Very Satisfied,Very Satisfied,4,Very Satisfied,Very Satisfied,Excellent,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,,Yes,Yes,Business (Not commuting),Personal Automobile,Excellent Value for the Money,ANNISTON | AL,HUNTSVILLE | AL
12066723240,10/11/2020 12:21,10/11/2020 13:00,10,10,10,Yes,Yes,Website,Excellent,Very Satisfied,Very Satisfied,Very Satisfied,4,Very Satisfied,Excellent,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,No,No,Family/Personal Emergency,Bus,Good Value for the Money,ALBANY | NY,NEW YORK | NY
12066722573,10/11/2020 12:21,10/11/2020 12:33,2,1,0,Yes,No,Mobile App,Very Poor,Very Satisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Poor,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very DIssatisfied,Very Dissatisfied,No,No,Family/Personal Emergency,Bus,Very Poor Value for the Money,NEW YORK | NY,FAYETTEVILLE | NC
12066719995,10/11/2020 12:19,10/11/2020 12:26,4,3,4,No,No,Website,3,3,3,3,N/A,4,3,3,3,3,3,2,No,No,"Specific Event or Gathering with Friends or Family (i.e. Birthday, Family Reunion, etc.)",Bus,Average Value for the Money,EXMORE | VA,
12066717123,10/11/2020 12:17,10/11/2020 12:21,5,0,5,No,No,Website,Very Poor,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Poor,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,No,No,Family/Personal Emergency,Personal Automobile,Excellent Value for the Money,OMAHA | NE,KEARNEY | NE
12066714445,10/11/2020 12:14,10/11/2020 12:17,8,8,8,Yes,No,Website,4,Very Satisfied,Very Satisfied,2,Very Satisfied,Very Satisfied,4,Very Satisfied,Very Satisfied,Very Satisfied,2,Very Satisfied,No,No,Visiting Friends or Family (Just for Fun),Personal Automobile,Excellent Value for the Money,AMARILLO | TX,EL PASO | TX
12066713437,10/11/2020 12:13,10/11/2020 12:26,,2,0,No,No,Mobile App,Very Poor,3,2,Very Dissatisfied,2,3,Very Poor,4,Very Dissatisfied,Very Dissatisfied,2,Very Dissatisfied,Yes,No,Family/Personal Emergency,Plane,Average Value for the Money,NEWARK | NJ,BOSTON | MA
12066712389,10/11/2020 12:13,10/11/2020 12:15,0,4,4,No,No,Website,3,3,4,N/A,N/A,N/A,2,3,4,3,4,3,No,No,Family/Personal Emergency,Personal Automobile,Very Poor Value for the Money,ATLANTA | GA,
12066711721,10/11/2020 12:12,10/11/2020 12:15,10,10,10,Yes,Yes,Website,Excellent,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Excellent,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Yes,Yes,Visiting Friends or Family (Just for Fun),Personal Automobile,Good Value for the Money,ATLANTA | GA,AUGUSTA | GA
12066707445,10/11/2020 12:08,10/11/2020 12:13,,8,4,Yes,Yes,Call Center,4,4,Very Satisfied,4,4,Very Satisfied,Excellent,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,4,Yes,Yes,Vacation (Non family visit),Bus,Average Value for the Money,PITTSBURGH | PA,SAN FRANCISCO | CA
12066707354,10/11/2020 12:07,10/11/2020 12:43,1,2,1,Yes,Yes,Website,Very Poor,2,2,4,N/A,3,Very Poor,Very Satisfied,4,Very Dissatisfied,4,3,Yes,No,Visiting Friends or Family (Just for Fun),Plane,Very Poor Value for the Money,PHILADELPHIA | PA,RALEIGH | NC
12066707186,10/11/2020 12:08,10/11/2020 12:13,3,2,3,No,No,Mobile App,3,Very Satisfied,3,3,3,3,2,4,4,4,4,4,Yes,Yes,Family/Personal Emergency,Personal Automobile,Poor Value for the Money,BOSTON | MA,NEW YORK | NY
12066703958,10/11/2020 12:05,10/11/2020 12:09,1,0,0,Yes,Yes,Website,Very Poor,2,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Poor,Very Satisfied,3,Very Dissatisfied,Very DIssatisfied,Very Dissatisfied,No,No,Family/Personal Emergency,Train,Very Poor Value for the Money,ORLANDO | FL,FORT LAUDERDALE | FL
12066703844,10/11/2020 12:05,10/11/2020 12:07,0,0,0,Yes,No,Website,Very Poor,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Poor,Very Satisfied,Very Satisfied,Very Satisfied,Very DIssatisfied,Very Satisfied,,,,,,NEWARK | NJ,BOSTON | MA
12066703045,10/11/2020 12:05,10/11/2020 12:07,8,9,10,Yes,Yes,Website,3,Very Satisfied,3,3,Very Dissatisfied,4,4,4,4,4,4,,Yes,No,Visiting Friends or Family (Just for Fun),Personal Automobile,Good Value for the Money,BANGOR | ME,
12066702462,10/11/2020 12:04,10/11/2020 12:10,1,1,0,Yes,Yes,Website,Very Poor,4,Very Dissatisfied,Very Dissatisfied,2,Very Dissatisfied,2,Very Satisfied,Very Satisfied,3,Very DIssatisfied,,Yes,Yes,,Plane,Very Poor Value for the Money,LAS VEGAS | NV,
12066701365,10/11/2020 12:03,10/11/2020 12:07,10,10,7,Yes,Yes,Mobile App,Excellent,Very Satisfied,Very Satisfied,4,3,4,Excellent,4,4,4,4,4,Yes,Yes,Visiting Friends or Family (Just for Fun),Personal Automobile,Good Value for the Money,KANSAS CITY | MO,
12066699140,10/11/2020 12:02,10/11/2020 12:03,7,7,6,No,No,Website,3,3,3,3,N/A,3,3,,,,,,,,,,,CHARLOTTE | NC,GREENVILLE | SC
12066697184,10/11/2020 12:00,10/11/2020 12:12,0,0,,Yes,Yes,Website,Very Poor,Very Satisfied,N/A,3,N/A,Very Dissatisfied,Very Poor,3,Very Dissatisfied,3,3,3,No,No,Business (Not commuting),Personal Automobile,Very Poor Value for the Money,SEATTLE | WA,MOUNT VERNON | WA
12066696796,10/11/2020 11:59,10/11/2020 12:02,8,9,8,Yes,Yes,Website,4,3,Very Satisfied,4,Very Satisfied,Very Satisfied,Excellent,Very Satisfied,3,4,Very Satisfied,Very Satisfied,,,,,,GRAND JUNCTION | CO,DENVER | CO
12066696523,10/11/2020 12:00,10/11/2020 12:07,1,1,0,Yes,Yes,Website,3,3,2,Very Dissatisfied,N/A,3,Very Poor,3,4,Very Dissatisfied,Very DIssatisfied,Very Dissatisfied,Yes,No,"Specific Event or Gathering with Friends or Family (i.e. Birthday, Family Reunion, etc.)",Train,Average Value for the Money,NEW YORK | NY,SYRACUSE | NY
12066695949,10/11/2020 11:59,10/11/2020 12:09,8,5,5,Yes,Yes,Website,Very Poor,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Satisfied,2,Very Satisfied,Very Satisfied,Very Dissatisfied,4,4,Yes,No,Visiting Friends or Family (Just for Fun),Personal Automobile,Average Value for the Money,MESA | AZ,TUCSON | AZ
12066694495,10/11/2020 11:58,10/11/2020 12:02,0,3,3,Yes,Yes,Website,4,Very Satisfied,Very Satisfied,Very Dissatisfied,Very Dissatisfied,Very Satisfied,Very Poor,Very Satisfied,Very Satisfied,Very Satisfied,Very DIssatisfied,Very Dissatisfied,No,No,Family/Personal Emergency,Bus,Average Value for the Money,CINCINNATI | OH,
12066693087,10/11/2020 11:57,10/11/2020 12:01,7,7,6,Yes,Yes,Website,Excellent,Very Satisfied,Very Satisfied,3,N/A,Very Satisfied,3,4,4,2,3,,Yes,Yes,Family/Personal Emergency,Personal Automobile,Average Value for the Money,MEMPHIS | TN,GRAMBLING | LA
12066692701,10/11/2020 11:57,10/11/2020 12:11,10,8,8,Yes,Yes,Website,2,Very Dissatisfied,4,4,N/A,4,4,Very Satisfied,4,4,3,,No,No,Family/Personal Emergency,Personal Automobile,Excellent Value for the Money,WICHITA | KS,LAWRENCE | KS
12066692023,10/11/2020 11:56,10/11/2020 12:14,10,10,10,Yes,Yes,Website,Excellent,N/A,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Excellent,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,,,,,,DOTHAN | AL,BIRMINGHAM | AL
12066690232,10/11/2020 11:55,10/11/2020 11:56,0,0,0,No,Yes,Website,2,Very Satisfied,Very Satisfied,Very Dissatisfied,Very Satisfied,3,2,Very Satisfied,Very Satisfied,Very Dissatisfied,Very DIssatisfied,Very Satisfied,No,Yes,Family/Personal Emergency,Bus,Poor Value for the Money,BOSTON | MA,
12066687918,10/11/2020 11:53,10/11/2020 11:56,10,10,10,Yes,Yes,Website,Excellent,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Excellent,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Yes,Yes,Family/Personal Emergency,Bus,Excellent Value for the Money,PHILADELPHIA | PA,
12066685541,10/11/2020 11:51,10/11/2020 12:00,0,0,0,No,No,Website,Very Poor,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Poor,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very DIssatisfied,Very Dissatisfied,Yes,No,Commuting to Work,Bus,Very Poor Value for the Money,LAREDO | TX,
12066683980,10/11/2020 11:49,10/11/2020 11:58,10,10,10,No,Yes,Website,Excellent,Very Satisfied,Very Satisfied,Very Satisfied,N/A,Very Satisfied,Excellent,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Yes,Yes,Family/Personal Emergency,Personal Automobile,Good Value for the Money,LONG BEACH | CA,LAS VEGAS | NV
12066682492,10/11/2020 11:48,10/11/2020 11:50,0,0,0,No,No,Website,Very Poor,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Poor,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very DIssatisfied,Very Dissatisfied,,,,,,CLAREMONT | CA,DENVER | CO
12066682302,10/11/2020 11:48,10/11/2020 11:50,0,0,0,No,No,Website,Very Poor,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Poor,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very DIssatisfied,Very Dissatisfied,,,,,,LAREDO | TX,
12066682090,10/11/2020 11:48,10/11/2020 11:56,0,4,1,No,No,Website,Very Poor,Very Dissatisfied,Very Dissatisfied,3,N/A,Very Dissatisfied,Very Poor,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very DIssatisfied,Very Dissatisfied,Yes,No,Family/Personal Emergency,Personal Automobile,Very Poor Value for the Money,NEW ORLEANS | LA,SHREVEPORT | LA
12066680062,10/11/2020 11:46,10/11/2020 11:49,0,9,8,No,No,Mobile App,4,3,4,Very Dissatisfied,3,3,3,3,3,3,3,3,,,,,,NEW ORLEANS | LA,
12066679703,10/11/2020 11:46,10/11/2020 11:50,2,10,9,Yes,Yes,Website,Excellent,Very Satisfied,Very Satisfied,3,4,2,2,Very Satisfied,Very Satisfied,2,2,Very Satisfied,Yes,No,Visiting Friends or Family (Just for Fun),Bus,Excellent Value for the Money,CHICAGO | IL,
12066679680,10/11/2020 11:46,10/11/2020 11:49,10,10,10,Yes,Yes,Website,Excellent,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Excellent,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Yes,No,Visiting Friends or Family (Just for Fun),Bus,Excellent Value for the Money,MARYSVILLE | OH,SOUTH BEND | IN
12066677747,10/11/2020 11:44,10/11/2020 11:49,10,10,10,No,Yes,Website,Excellent,N/A,Very Satisfied,Very Satisfied,N/A,Very Satisfied,Excellent,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,,Yes,No,Visiting Friends or Family (Just for Fun),Personal Automobile,Average Value for the Money,ATLANTA | GA,
12066677287,10/11/2020 11:44,10/11/2020 11:48,0,0,0,Yes,No,Website,Very Poor,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Poor,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very DIssatisfied,Very Dissatisfied,Yes,Yes,"Specific Event or Gathering with Friends or Family (i.e. Birthday, Family Reunion, etc.)",Bus,Poor Value for the Money,NORCROSS | GA,
12066676605,10/11/2020 11:43,10/11/2020 11:49,3,4,5,No,No,Website,Very Poor,Very Dissatisfied,4,3,3,Very Dissatisfied,2,3,3,3,3,3,No,No,Visiting Friends or Family (Just for Fun),Personal Automobile,Poor Value for the Money,BALTIMORE | MD,NEW YORK | NY
12066675718,10/11/2020 11:43,10/11/2020 11:47,2,2,1,Yes,Yes,Website,Very Poor,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,3,Very Dissatisfied,2,3,3,Very Dissatisfied,Very DIssatisfied,Very Dissatisfied,Yes,No,"Specific Event or Gathering with Friends or Family (i.e. Birthday, Family Reunion, etc.)",Personal Automobile,Poor Value for the Money,TYLER | TX,SAN ANTONIO | TX
12066675553,10/11/2020 11:42,10/11/2020 11:49,9,8,8,Yes,Yes,Website,2,2,2,2,3,4,4,Very Satisfied,4,4,3,3,Yes,Yes,Visiting Friends or Family (Just for Fun),Personal Automobile,Good Value for the Money,NEW YORK | NY,PHILADELPHIA | PA
12066674874,10/11/2020 11:41,10/11/2020 11:47,0,1,0,No,No,Website,Very Poor,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Satisfied,,Very Poor,Very Satisfied,Very Dissatisfied,Very Dissatisfied,Very DIssatisfied,2,,,,,,LAREDO | TX,
12066672873,10/11/2020 11:40,10/11/2020 11:45,7,8,7,No,No,Website,4,N/A,Very Satisfied,Very Satisfied,Very Satisfied,4,4,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,4,Yes,Yes,Visiting Friends or Family (Just for Fun),Personal Automobile,Good Value for the Money,EAST LANSING | MI,MT PLEASANT | MI
12066671043,10/11/2020 11:39,10/11/2020 11:43,5,1,5,No,No,Website,3,4,4,Very Satisfied,4,4,2,Very Satisfied,4,4,4,4,Yes,Yes,"Specific Event or Gathering with Friends or Family (i.e. Birthday, Family Reunion, etc.)",Personal Automobile,Poor Value for the Money,PITTSBURGH | PA,
12066669370,10/11/2020 11:37,10/11/2020 11:43,0,1,1,Yes,Yes,Website,2,2,3,Very Dissatisfied,Very Dissatisfied,Very Satisfied,Very Poor,Very Satisfied,3,Very Dissatisfied,Very DIssatisfied,Very Dissatisfied,Yes,No,Visiting Friends or Family (Just for Fun),Bus,Poor Value for the Money,NEW YORK | NY,
12066668252,10/11/2020 11:36,10/11/2020 11:40,8,10,9,No,No,Website,Excellent,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Excellent,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,No,,Visiting Friends or Family (Just for Fun),Bus,Excellent Value for the Money,CORPUS CHRISTI | TX,
12066668224,10/11/2020 11:36,10/11/2020 11:43,4,2,3,No,No,Mobile App,2,3,3,4,4,4,2,4,4,4,2,3,No,No,"Specific Event or Gathering with Friends or Family (i.e. Birthday, Family Reunion, etc.)",Bus,Poor Value for the Money,SAN ANTONIO | TX,GENERAL ESCOBEDO | MX
12066668187,10/11/2020 11:36,10/11/2020 11:54,10,10,10,Yes,No,Terminal/Stop/Physical Location,Excellent,Very Satisfied,Very Satisfied,Very Satisfied,Very Dissatisfied,Very Satisfied,4,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Dissatisfied,Yes,Yes,Visiting Friends or Family (Just for Fun),Bus,Excellent Value for the Money,NEW YORK | NY,
12066667577,10/11/2020 11:35,10/11/2020 11:59,0,1,0,Yes,Yes,Website,Excellent,Very Satisfied,Very Satisfied,Very Satisfied,Very Dissatisfied,Very Satisfied,Very Poor,Very Satisfied,Very Satisfied,Very Dissatisfied,Very DIssatisfied,2,Yes,No,Family/Personal Emergency,Bus,Average Value for the Money,TUCSON | AZ,
12066667225,10/11/2020 11:35,10/11/2020 11:42,0,0,0,No,No,Website,Very Poor,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Poor,Very Dissatisfied,3,3,3,3,Yes,No,"Specific Event or Gathering with Friends or Family (i.e. Birthday, Family Reunion, etc.)",Bus,Very Poor Value for the Money,SAINT LOUIS | MO,
12066666950,10/11/2020 11:35,10/11/2020 11:40,0,0,0,No,No,Website,Very Poor,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Poor,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very DIssatisfied,Very Dissatisfied,Yes,No,Family/Personal Emergency,Personal Automobile,Very Poor Value for the Money,KISSIMMEE | FL,
12066666186,10/11/2020 11:35,10/11/2020 11:39,10,10,10,Yes,Yes,Website,Excellent,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Excellent,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,,Yes,No,"Specific Event or Gathering with Friends or Family (i.e. Birthday, Family Reunion, etc.)",Personal Automobile,Good Value for the Money,BIRMINGHAM | AL,MOBILE | AL
12066665459,10/11/2020 11:34,10/11/2020 11:37,0,1,0,Yes,Yes,Website,2,,Very Dissatisfied,4,Very Dissatisfied,2,Very Poor,Very Satisfied,3,2,3,Very Dissatisfied,,,,,,NEW YORK | NY,
12066665021,10/11/2020 11:34,10/11/2020 11:40,2,0,1,No,Yes,Website,2,N/A,N/A,N/A,N/A,N/A,2,4,Very Dissatisfied,4,4,4,Yes,Yes,Family/Personal Emergency,Personal Automobile,Poor Value for the Money,NEW YORK | NY,
12066664800,10/11/2020 11:34,10/11/2020 11:37,10,10,10,Yes,Yes,Website,Excellent,N/A,3,Very Satisfied,N/A,Very Satisfied,4,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,No,Yes,Visiting Friends or Family (Just for Fun),Plane,Excellent Value for the Money,DE KALB | IL,
12066664613,10/11/2020 11:33,10/11/2020 11:35,,0,0,No,No,Website,Very Poor,Very Dissatisfied,Very Dissatisfied,4,Very Dissatisfied,3,Very Poor,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very DIssatisfied,Very Dissatisfied,,,,,,WILMINGTON | DE,
12066664294,10/11/2020 11:33,10/11/2020 11:37,8,9,2,Yes,Yes,Website,Excellent,Very Satisfied,Very Satisfied,Very Dissatisfied,4,Very Satisfied,4,Very Satisfied,Very Satisfied,Very Satisfied,Very DIssatisfied,Very Dissatisfied,No,No,Family/Personal Emergency,Plane,Excellent Value for the Money,INDIANAPOLIS | IN,CHICAGO | IL
12066663962,10/11/2020 11:33,10/11/2020 11:47,1,5,3,Yes,No,Website,2,2,3,4,Very Satisfied,Very Satisfied,4,4,4,4,4,4,No,No,Family/Personal Emergency,Personal Automobile,Very Poor Value for the Money,BUFFALO | TX,MOBILE | AL
12066663697,10/11/2020 11:33,10/11/2020 11:37,10,10,10,No,Yes,Website,4,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Excellent,4,4,Very Satisfied,Very Satisfied,Very Satisfied,Yes,Yes,Family/Personal Emergency,Personal Automobile,Excellent Value for the Money,FLINT | MI,CHICAGO | IL
12066663518,10/11/2020 11:32,10/11/2020 11:41,5,3,3,Yes,Yes,Website,Excellent,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Poor,Very Dissatisfied,Very Dissatisfied,2,4,4,Yes,Yes,"Specific Event or Gathering with Friends or Family (i.e. Birthday, Family Reunion, etc.)",Train,Poor Value for the Money,CHICAGO | IL,MINNEAPOLIS | MN
12066663501,10/11/2020 11:33,10/11/2020 11:36,0,0,3,Yes,No,Website,Excellent,3,4,3,Very Dissatisfied,4,Very Poor,3,Very Dissatisfied,3,3,Very Dissatisfied,Yes,Yes,Family/Personal Emergency,Plane,Poor Value for the Money,GENERAL ESCOBEDO | MX,HOUSTON | TX
12066652752,10/11/2020 11:24,10/11/2020 11:29,8,5,4,Yes,No,Website,Excellent,Very Satisfied,Very Satisfied,Very Satisfied,N/A,Very Satisfied,4,4,4,4,4,4,No,No,Vacation (Non family visit),Plane,Excellent Value for the Money,NEW YORK | NY,WASHINGTON | DC
12066636877,10/11/2020 11:10,10/11/2020 11:18,8,8,8,Yes,Yes,Website,2,3,3,3,3,3,4,4,4,4,4,4,Yes,No,Family/Personal Emergency,Personal Automobile,Good Value for the Money,FREDERICKSBURG | VA,CLEVELAND | OH
12066631450,10/11/2020 11:06,10/11/2020 11:09,10,9,10,Yes,Yes,Mobile App,2,4,4,2,2,3,Excellent,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Yes,Yes,Family/Personal Emergency,Personal Automobile,Excellent Value for the Money,JACKSONVILLE | NC,
12066561888,10/11/2020 10:08,10/11/2020 10:25,1,1,0,Yes,No,Website,2,2,2,2,2,2,2,3,3,3,3,2,Yes,No,Visiting Friends or Family (Just for Fun),Bus,Average Value for the Money,NEW YORK | NY,RICHMOND | VA
12066558955,10/11/2020 10:06,10/11/2020 10:14,1,1,0,No,No,Website,2,Very Dissatisfied,2,2,N/A,Very Dissatisfied,Very Poor,2,2,2,2,Very Dissatisfied,Yes,Yes,Visiting Friends or Family (Just for Fun),Plane,Average Value for the Money,,
12066556461,10/11/2020 10:04,10/11/2020 10:05,10,6,6,Yes,Yes,Website,Excellent,3,4,4,Very Satisfied,N/A,4,4,4,4,4,4,,,,,,TAMPA | FL,FORT LAUDERDALE | FL
12066554718,10/11/2020 10:02,10/11/2020 10:04,6,6,5,Yes,Yes,Website,4,,,,,,,,,,,,,,,,,NORMAN | OK,AUSTIN | TX
12066551949,10/11/2020 10:00,10/11/2020 10:05,7,5,5,No,Yes,Website,3,Very Satisfied,2,2,3,Very Satisfied,3,,Very Satisfied,3,4,Very Satisfied,No,No,Business (Not commuting),Personal Automobile,Good Value for the Money,FORT WALTON BEACH | FL,ATLANTA | GA
12066539310,10/11/2020 9:50,10/11/2020 9:55,10,10,10,Yes,Yes,Website,Excellent,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Excellent,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Yes,Yes,"Specific Event or Gathering with Friends or Family (i.e. Birthday, Family Reunion, etc.)",Bus,Good Value for the Money,TALLAHASSEE | FL,
12066539202,10/11/2020 9:50,10/11/2020 10:00,10,10,10,No,Yes,Website,Excellent,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,4,Excellent,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Yes,No,Business (Not commuting),Plane,Excellent Value for the Money,DALLAS | TX,NASHVILLE | TN
12066519573,10/11/2020 8:33,10/11/2020 9:37,10,10,10,Yes,Yes,Website,Excellent,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Excellent,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Yes,Yes,Business (Not commuting),Plane,Good Value for the Money,ATLANTA | GA,
12066476371,10/11/2020 8:57,10/11/2020 9:10,0,0,0,No,No,Website,4,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Dissatisfied,Very Poor,Very Satisfied,Very Satisfied,Very Dissatisfied,Very DIssatisfied,Very Dissatisfied,Yes,No,Family/Personal Emergency,Plane,Average Value for the Money,URBANA | IL,
12066470845,10/11/2020 8:53,10/11/2020 9:02,10,10,10,Yes,Yes,Website,Excellent,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,4,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,4,Yes,Yes,Visiting Friends or Family (Just for Fun),Personal Automobile,Good Value for the Money,,
12066469560,10/11/2020 8:51,10/11/2020 8:52,10,10,10,Yes,Yes,Website,Excellent,,,,,,,,,,,,,,,,,,
12066447456,10/11/2020 8:31,10/11/2020 8:33,0,3,,No,No,Website,Very Poor,2,Very Satisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Poor,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very DIssatisfied,Very Dissatisfied,,,,,,ALEXANDRIA | LA,LEXINGTON | KY
12066439682,10/11/2020 8:24,10/11/2020 8:30,6,6,6,Yes,Yes,Mobile App,4,4,4,3,2,4,3,4,Very Satisfied,4,2,2,Yes,No,Visiting Friends or Family (Just for Fun),Personal Automobile,Average Value for the Money,SAN ANTONIO | TX,HOUSTON | TX
